seed=20260601
00: (1, 4, 2, 0, 7, 3, 6, 5, 8)
01: (1, 6, 2, 0, 4, 3, 5, 8, 7)
02: (1, 6, 7, 2, 4, 3, 8, 0, 5)
03: (2, 0, 4, 3, 6, 8, 7, 5, 1)
04: (2, 0, 5, 8, 4, 7, 3, 6, 1)
05: (2, 4, 5, 3, 0, 6, 7, 1, 8)
06: (2, 6, 0, 1, 8, 4, 5, 7, 3)
07: (2, 6, 5, 4, 3, 8, 7, 0, 1)
08: (2, 7, 4, 1, 6, 5, 8, 3, 0)
09: (3, 1, 6, 4, 2, 0, 7, 8, 5)
10: (3, 1, 6, 8, 7, 5, 0, 2, 4)
11: (3, 5, 6, 1, 4, 0, 7, 2, 8)
12: (3, 8, 0, 6, 5, 4, 2, 1, 7)
13: (4, 0, 3, 7, 6, 2, 8, 5, 1)
14: (4, 2, 3, 0, 5, 7, 1, 6, 8)
15: (4, 7, 2, 8, 1, 5, 0, 3, 6)
16: (4, 8, 2, 0, 1, 7, 6, 5, 3)
17: (5, 6, 7, 2, 0, 3, 1, 4, 8)
18: (6, 3, 1, 0, 8, 7, 5, 2, 4)
19: (6, 7, 8, 5, 1, 0, 2, 4, 3)
20: (6, 8, 4, 3, 5, 1, 2, 7, 0)
21: (6, 8, 4, 7, 1, 0, 5, 2, 3)
22: (7, 3, 8, 5, 4, 2, 6, 0, 1)
23: (8, 5, 3, 0, 6, 4, 2, 7, 1)
24: (8, 5, 3, 2, 4, 0, 1, 7, 6)
